Date : 2024-05-29 16:48:34
Directory : e:\WebProjects\library
Total : 101 files,  16787 codes, 278 comments, 738 blanks, all 17803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\WebProjects\library\composables\useBooks.js                                                                            | JavaScript         |        200 |          1 |         27 |        228 |
| e:\WebProjects\library\composables\useFetchApi.js                                                                         | JavaScript         |         10 |          0 |          2 |         12 |
| e:\WebProjects\library\composables\useLibrary.js                                                                          | JavaScript         |         29 |          0 |          4 |         33 |
| e:\WebProjects\library\composables\usePublishers.js                                                                       | JavaScript         |         21 |          0 |          2 |         23 |
| e:\WebProjects\library\nuxt.config.ts                                                                                     | TypeScript         |         26 |          1 |          0 |         27 |
| e:\WebProjects\library\package-lock.json                                                                                  | JSON               |     13,335 |          0 |          1 |     13,336 |
| e:\WebProjects\library\package.json                                                                                       | JSON               |         41 |          0 |          1 |         42 |
| e:\WebProjects\library\pages\Account\index.vue                                                                            | vue                |        163 |          1 |         32 |        196 |
| e:\WebProjects\library\pages\AuthPage.vue                                                                                 | vue                |          9 |          0 |          4 |         13 |
| e:\WebProjects\library\pages\Book\[id].vue                                                                                | vue                |        161 |         17 |         20 |        198 |
| e:\WebProjects\library\pages\Libraries.vue                                                                                | vue                |         39 |          0 |         12 |         51 |
| e:\WebProjects\library\pages\Register.vue                                                                                 | vue                |          9 |          0 |          3 |         12 |
| e:\WebProjects\library\pages\Search.vue                                                                                   | vue                |         43 |          2 |         15 |         60 |
| e:\WebProjects\library\pages\admin\Order\[id].vue                                                                         | vue                |        123 |          4 |         18 |        145 |
| e:\WebProjects\library\pages\admin\index.vue                                                                              | vue                |         74 |          0 |         11 |         85 |
| e:\WebProjects\library\pages\index.vue                                                                                    | vue                |         21 |          2 |         10 |         33 |
| e:\WebProjects\library\prisma\migrations\20240507164100_add_model_users\migration.sql                                     | SQL                |         12 |          2 |          3 |         17 |
| e:\WebProjects\library\prisma\migrations\20240507170922_add_books_model\migration.sql                                     | SQL                |          9 |          1 |          2 |         12 |
| e:\WebProjects\library\prisma\migrations\20240509091622_new_models\migration.sql                                          | SQL                |         38 |         21 |         16 |         75 |
| e:\WebProjects\library\prisma\migrations\20240509135435_lb_model_update\migration.sql                                     | SQL                |          8 |         12 |          6 |         26 |
| e:\WebProjects\library\prisma\migrations\20240512203909_books_library_books_relation_changed_to_one_to_many\migration.sql | SQL                |          1 |          1 |          1 |          3 |
| e:\WebProjects\library\prisma\migrations\20240514015152_lb_and_books_new_fields\migration.sql                             | SQL                |          6 |          2 |          2 |         10 |
| e:\WebProjects\library\prisma\migrations\20240519021657_user_model_changed\migration.sql                                  | SQL                |          3 |          9 |          1 |         13 |
| e:\WebProjects\library\prisma\migrations\20240519022653_users_model_changed\migration.sql                                 | SQL                |          1 |          7 |          1 |          9 |
| e:\WebProjects\library\prisma\migrations\20240519023956_refresh_token_model\migration.sql                                 | SQL                |         10 |          3 |          4 |         17 |
| e:\WebProjects\library\prisma\migrations\20240519223953_users_admin_field_add\migration.sql                               | SQL                |          1 |          7 |          1 |          9 |
| e:\WebProjects\library\prisma\migrations\20240522004008_booked_books\migration.sql                                        | SQL                |         14 |         12 |          6 |         32 |
| e:\WebProjects\library\prisma\migrations\20240522012818_fix\migration.sql                                                 | SQL                |          2 |          8 |          1 |         11 |
| e:\WebProjects\library\prisma\migrations\20240522013354_fix2\migration.sql                                                | SQL                |         10 |         17 |          7 |         34 |
| e:\WebProjects\library\prisma\migrations\20240522014033_fix3\migration.sql                                                | SQL                |          1 |          1 |          1 |          3 |
| e:\WebProjects\library\prisma\migrations\20240522033331_order_code\migration.sql                                          | SQL                |          1 |          7 |          1 |          9 |
| e:\WebProjects\library\prisma\migrations\20240523194125_libs_coords\migration.sql                                         | SQL                |          2 |          8 |          1 |         11 |
| e:\WebProjects\library\prisma\migrations\20240528004127_timezones\migration.sql                                           | SQL                |          2 |          1 |          1 |          4 |
| e:\WebProjects\library\prisma\migrations\20240528004655_timestamp\migration.sql                                           | SQL                |          2 |          1 |          1 |          4 |
| e:\WebProjects\library\prisma\migrations\20240528004722_timestamp\migration.sql                                           | SQL                |          2 |          1 |          1 |          4 |
| e:\WebProjects\library\prisma\migrations\20240528020935_timestamps_receivedat_returnedat_etc\migration.sql                | SQL                |          4 |          1 |          1 |          6 |
| e:\WebProjects\library\prisma\migrations\20240528040811_booked_due_date\migration.sql                                     | SQL                |          3 |          8 |          1 |         12 |
| e:\WebProjects\library\prisma\schema.prisma                                                                               | Prisma             |         91 |          4 |         35 |        130 |
| e:\WebProjects\library\server\api\auth\login.post.js                                                                      | JavaScript         |         42 |         11 |         16 |         69 |
| e:\WebProjects\library\server\api\auth\logout.post.js                                                                     | JavaScript         |         14 |          0 |          5 |         19 |
| e:\WebProjects\library\server\api\auth\refresh.get.js                                                                     | JavaScript         |         33 |          0 |         14 |         47 |
| e:\WebProjects\library\server\api\auth\register.post.js                                                                   | JavaScript         |         40 |          3 |          9 |         52 |
| e:\WebProjects\library\server\api\auth\user.get.js                                                                        | JavaScript         |          7 |          0 |          3 |         10 |
| e:\WebProjects\library\server\api\authors\index.get.js                                                                    | JavaScript         |         27 |          0 |          9 |         36 |
| e:\WebProjects\library\server\api\authors\index.post.js                                                                   | JavaScript         |         14 |          0 |          6 |         20 |
| e:\WebProjects\library\server\api\bookedBooks\[id].get.js                                                                 | JavaScript         |         16 |          0 |          7 |         23 |
